sample_type	treatment	concentration	value
line1	DMSO	0	100
line1	DMSO	0	99
line1	DMSO	0	100
line2	DMSO	0	90
line2	DMSO	0	91
line2	DMSO	0	92
line1	drug	200	99
line1	drug	200	97
line1	drug	200	99
line2	drug	200	89
line2	drug	200	87
line2	drug	200	88
line1	drug	500	86
line1	drug	500	89
line1	drug	500	88
line2	drug	500	56
line2	drug	500	59
line2	drug	500	58
line1	drug	1000	66
line1	drug	1000	65
line1	drug	1000	67
line2	drug	1000	25
line2	drug	1000	23
line2	drug	1000	24
line1	drug	5000	42
line1	drug	5000	43
line1	drug	5000	46
line2	drug	5000	4
line2	drug	5000	5
line2	drug	5000	9
